"기간","날짜","지점","품목","수량","매출원"
2025-09~10,2025-09-01,"EM은평점","데친 문어",52,538276
2025-09~10,2025-09-01,"EM평택점","데친 문어",55,599517
2025-09~10,2025-09-02,"EM은평점","데친 문어",50,478807
2025-09~10,2025-09-02,"EM평택점","데친 문어",47,482626
2025-09~10,2025-09-03,"EM은평점","데친 문어",26,271615
2025-09~10,2025-09-03,"EM평택점","데친 문어",54,579294
2025-09~10,2025-09-04,"EM은평점","데친 문어",58,566959
2025-09~10,2025-09-04,"EM평택점","데친 문어",62,668283
2025-09~10,2025-09-05,"EM은평점","데친 문어",76,753254
2025-09~10,2025-09-05,"EM평택점","데친 문어",77,829776
2025-09~10,2025-09-06,"EM은평점","데친 문어",114,1168809
2025-09~10,2025-09-06,"EM평택점","데친 문어",87,1069445
2025-09~10,2025-09-07,"EM은평점","데친 문어",84,777962
2025-09~10,2025-09-07,"EM평택점","데친 문어",51,618612
2025-09~10,2025-09-08,"EM은평점","데친 문어",49,429499
2025-09~10,2025-09-08,"EM평택점","데친 문어",37,392378
2025-09~10,2025-09-09,"EM은평점","데친 문어",22,218095
2025-09~10,2025-09-09,"EM평택점","데친 문어",25,263481
2025-09~10,2025-09-10,"EM은평점","데친 문어",47,420692
2025-09~10,2025-09-10,"EM평택점","데친 문어",48,446734
2025-09~10,2025-09-11,"EM은평점","데친 문어",45,390385
2025-09~10,2025-09-11,"EM평택점","데친 문어",53,472505
2025-09~10,2025-09-12,"EM은평점","데친 문어",59,558418
2025-09~10,2025-09-12,"EM평택점","데친 문어",62,653206
2025-09~10,2025-09-13,"EM은평점","데친 문어",99,868027
2025-09~10,2025-09-13,"EM평택점","데친 문어",92,1115564
2025-09~10,2025-09-15,"EM평택점","데친 문어",21,263265
2025-09~10,2025-09-18,"EM왕십리점","데친 문어",49,573450
2025-09~10,2025-09-18,"EM죽전점","데친 문어",28,290200
2025-09~10,2025-09-19,"EM왕십리점","데친 문어",95,1023497
2025-09~10,2025-09-19,"EM죽전점","데친 문어",56,611501
2025-09~10,2025-09-20,"EM왕십리점","데친 문어",128,1382635
2025-09~10,2025-09-20,"EM죽전점","데친 문어",96,1136368
2025-09~10,2025-09-21,"EM왕십리점","데친 문어",110,1119672
2025-09~10,2025-09-21,"EM죽전점","데친 문어",66,691607
2025-09~10,2025-09-22,"EM왕십리점","데친 문어",60,569822
2025-09~10,2025-09-22,"EM죽전점","데친 문어",28,266122
2025-09~10,2025-09-23,"EM왕십리점","데친 문어",56,613949
2025-09~10,2025-09-23,"EM죽전점","데친 문어",33,357347
2025-09~10,2025-09-24,"EM왕십리점","데친 문어",33,404729
2025-09~10,2025-09-24,"EM죽전점","데친 문어",27,307808
2025-09~10,2025-09-25,"EM왕십리점","데친 문어",70,687267
2025-09~10,2025-09-25,"EM죽전점","데친 문어",32,374916
2025-09~10,2025-09-26,"EM왕십리점","데친 문어",79,738926
2025-09~10,2025-09-26,"EM죽전점","데친 문어",43,478513
2025-09~10,2025-09-27,"EM왕십리점","데친 문어",124,1235193
2025-09~10,2025-09-27,"EM죽전점","데친 문어",85,971413
2025-09~10,2025-09-29,"EM왕십리점","데친 문어",60,572591
2025-09~10,2025-09-29,"EM죽전점","데친 문어",24,235566
2025-09~10,2025-09-30,"EM왕십리점","데친 문어",215,4706231
2025-09~10,2025-09-30,"EM죽전점","데친 문어",151,2658309
2025-09~10,2025-10-01,"EM왕십리점","데친 문어",202,3606162
2025-09~10,2025-10-01,"EM죽전점","데친 문어",135,2276608
2025-09~10,2025-10-02,"EM왕십리점","데친 문어",126,2024129
2025-09~10,2025-10-02,"EM죽전점","데친 문어",95,1412963
2025-09~10,2025-10-03,"EM왕십리점","데친 문어",244,4605277
2025-09~10,2025-10-03,"EM죽전점","데친 문어",190,2509936
2025-09~10,2025-10-04,"EM왕십리점","데친 문어",281,6047706
2025-09~10,2025-10-04,"EM죽전점","데친 문어",192,2766110
2025-09~10,2025-10-05,"EM왕십리점","데친 문어",287,5341207
2025-09~10,2025-10-05,"EM죽전점","데친 문어",168,2721711
2025-09~10,2025-10-06,"EM왕십리점","데친 문어",99,1062412
2025-09~10,2025-10-06,"EM죽전점","데친 문어",78,768619
2025-09~10,2025-10-07,"EM왕십리점","데친 문어",89,955347
2025-09~10,2025-10-07,"EM죽전점","데친 문어",84,850511
2025-09~10,2025-10-08,"EM왕십리점","데친 문어",52,539717
2025-09~10,2025-10-08,"EM죽전점","데친 문어",77,789937
2025-09~10,2025-10-10,"EM왕십리점","데친 문어",58,566937
2025-09~10,2025-10-10,"EM죽전점","데친 문어",48,487595
2025-09~10,2025-10-11,"EM왕십리점","데친 문어",109,1193949
2025-09~10,2025-10-11,"EM죽전점","데친 문어",114,1051586
2025-09~10,2025-10-16,"EM성남점","데친 문어",44,404316
2025-09~10,2025-10-16,"EM월계점","데친 문어",28,307333
2025-09~10,2025-10-17,"EM성남점","데친 문어",63,590523
2025-09~10,2025-10-17,"EM월계점","데친 문어",53,514820
2025-09~10,2025-10-18,"EM성남점","데친 문어",124,1155966
2025-09~10,2025-10-18,"EM월계점","데친 문어",115,1202996
2025-09~10,2025-10-19,"EM성남점","데친 문어",75,741910
2025-09~10,2025-10-19,"EM월계점","데친 문어",78,746670
2025-09~10,2025-10-20,"EM성남점","데친 문어",48,450265
